travelCode,userCode,name,place,days,price,total,date,price_per_day,year,month,stay_category,hotel_popularity,place_popularity,user_avg_spend
0,0,Hotel A,Florianopolis (SC),4,313.02,1252.08,2019-09-26,313.02,2019,9,medium,3330,3330,593.1451851851851
2,0,Hotel K,Salvador (BH),2,263.41,526.82,2019-10-10,263.41,2019,10,short,5094,5094,593.1451851851851
7,0,Hotel K,Salvador (BH),3,263.41,790.23,2019-11-14,263.41,2019,11,medium,5094,5094,593.1451851851851
11,0,Hotel K,Salvador (BH),4,263.41,1053.64,2019-12-12,263.41,2019,12,medium,5094,5094,593.1451851851851
13,0,Hotel A,Florianopolis (SC),1,313.02,313.02,2019-12-26,313.02,2019,12,short,3330,3330,593.1451851851851
15,0,Hotel BD,Natal (RN),2,242.88,485.76,2020-01-09,242.88,2020,1,short,4829,4829,593.1451851851851
22,0,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-02-27,208.04,2020,2,short,4205,4205,593.1451851851851
29,0,Hotel AU,Recife (PE),4,312.83,1251.32,2020-04-16,312.83,2020,4,medium,4467,4467,593.1451851851851
32,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-05-07,139.1,2020,5,short,4828,4828,593.1451851851851
33,0,Hotel K,Salvador (BH),4,263.41,1053.64,2020-05-14,263.41,2020,5,medium,5094,5094,593.1451851851851
34,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-05-21,139.1,2020,5,medium,4828,4828,593.1451851851851
38,0,Hotel BD,Natal (RN),2,242.88,485.76,2020-06-18,242.88,2020,6,short,4829,4829,593.1451851851851
39,0,Hotel K,Salvador (BH),1,263.41,263.41,2020-06-25,263.41,2020,6,short,5094,5094,593.1451851851851
42,0,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-07-16,60.39,2020,7,medium,4333,4333,593.1451851851851
43,0,Hotel K,Salvador (BH),4,263.41,1053.64,2020-07-23,263.41,2020,7,medium,5094,5094,593.1451851851851
45,0,Hotel BD,Natal (RN),1,242.88,242.88,2020-08-06,242.88,2020,8,short,4829,4829,593.1451851851851
51,0,Hotel K,Salvador (BH),1,263.41,263.41,2020-09-17,263.41,2020,9,short,5094,5094,593.1451851851851
53,0,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-10-01,60.39,2020,10,short,4333,4333,593.1451851851851
54,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-10-08,139.1,2020,10,medium,4828,4828,593.1451851851851
55,0,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-10-15,313.02,2020,10,short,3330,3330,593.1451851851851
57,0,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-10-29,208.04,2020,10,medium,4205,4205,593.1451851851851
60,0,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-11-19,208.04,2020,11,medium,4205,4205,593.1451851851851
65,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-12-24,165.99,2020,12,short,5029,5029,593.1451851851851
73,0,Hotel BP,Brasilia (DF),4,247.62,990.48,2021-02-18,247.62,2021,2,medium,4437,4437,593.1451851851851
81,0,Hotel BD,Natal (RN),4,242.88,971.52,2021-04-15,242.88,2021,4,medium,4829,4829,593.1451851851851
86,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-05-20,139.1,2021,5,medium,4828,4828,593.1451851851851
87,0,Hotel AU,Recife (PE),1,312.83,312.83,2021-05-27,312.83,2021,5,short,4467,4467,593.1451851851851
90,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2019-10-03,139.1,2019,10,short,4828,4828,193.36
92,1,Hotel BP,Brasilia (DF),1,247.62,247.62,2019-10-17,247.62,2019,10,short,4437,4437,193.36
100,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2019-10-31,165.99,2019,10,medium,5029,5029,558.0033333333333
101,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,2019-11-07,60.39,2019,11,medium,4333,4333,558.0033333333333
105,2,Hotel Z,Aracaju (SE),4,208.04,832.16,2019-12-05,208.04,2019,12,medium,4205,4205,558.0033333333333
108,2,Hotel AU,Recife (PE),3,312.83,938.49,2019-12-26,312.83,2019,12,medium,4467,4467,558.0033333333333
109,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-01-02,60.39,2020,1,short,4333,4333,558.0033333333333
110,2,Hotel K,Salvador (BH),1,263.41,263.41,2020-01-09,263.41,2020,1,short,5094,5094,558.0033333333333
112,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2020-01-23,139.1,2020,1,medium,4828,4828,558.0033333333333
116,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-02-20,60.39,2020,2,medium,4333,4333,558.0033333333333
117,2,Hotel AU,Recife (PE),2,312.83,625.66,2020-02-27,312.83,2020,2,short,4467,4467,558.0033333333333
119,2,Hotel K,Salvador (BH),2,263.41,526.82,2020-03-12,263.41,2020,3,short,5094,5094,558.0033333333333
122,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-04-02,313.02,2020,4,medium,3330,3330,558.0033333333333
124,2,Hotel Z,Aracaju (SE),3,208.04,624.12,2020-04-16,208.04,2020,4,medium,4205,4205,558.0033333333333
125,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-04-23,60.39,2020,4,short,4333,4333,558.0033333333333
135,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-07-02,165.99,2020,7,short,5029,5029,558.0033333333333
137,2,Hotel A,Florianopolis (SC),3,313.02,939.06,2020-07-16,313.02,2020,7,medium,3330,3330,558.0033333333333
150,2,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-10-15,208.04,2020,10,short,4205,4205,558.0033333333333
153,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-11-05,60.39,2020,11,medium,4333,4333,558.0033333333333
156,2,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-11-26,247.62,2020,11,short,4437,4437,558.0033333333333
160,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-12-24,60.39,2020,12,short,4333,4333,558.0033333333333
